name	slack
sa10_sr\[7\]$_DFF_P_/D	-2.43581e-11
u0.u3.d\[6\]$_DFF_P_/D	-2.42221e-11
sa33_sr\[2\]$_DFF_P_/D	-2.34615e-11
sa22_sr\[5\]$_DFF_P_/D	-2.30278e-11
sa00_sr\[2\]$_DFF_P_/D	-2.29546e-11
u0.u0.d\[4\]$_DFF_P_/D	-2.24915e-11
sa31_sr\[7\]$_DFF_P_/D	-2.19368e-11
u0.u2.d\[4\]$_DFF_P_/D	-2.10496e-11
u0.u3.d\[7\]$_DFF_P_/D	-2.10139e-11
sa21_sr\[3\]$_DFF_P_/D	-2.09199e-11
sa12_sr\[4\]$_DFF_P_/D	-2.08606e-11
sa23_sr\[5\]$_DFF_P_/D	-2.04615e-11
u0.u0.d\[1\]$_DFF_P_/D	-2.00768e-11
sa31_sr\[4\]$_DFF_P_/D	-1.94882e-11
sa31_sr\[5\]$_DFF_P_/D	-1.84324e-11
u0.u1.d\[1\]$_DFF_P_/D	-1.77107e-11
sa00_sr\[4\]$_DFF_P_/D	-1.7445e-11
u0.u3.d\[2\]$_DFF_P_/D	-1.70879e-11
sa22_sr\[4\]$_DFF_P_/D	-1.67654e-11
sa22_sr\[0\]$_DFF_P_/D	-1.46074e-11
sa10_sr\[6\]$_DFF_P_/D	-1.45947e-11
sa01_sr\[7\]$_DFF_P_/D	-1.37231e-11
sa31_sr\[6\]$_DFF_P_/D	-1.12788e-11
u0.u3.d\[3\]$_DFF_P_/D	-1.12758e-11
u0.u1.d\[7\]$_DFF_P_/D	-1.02384e-11
u0.u1.d\[4\]$_DFF_P_/D	-9.63973e-12
sa11_sr\[6\]$_DFF_P_/D	-9.50429e-12
sa31_sr\[3\]$_DFF_P_/D	-9.48897e-12
u0.u3.d\[5\]$_DFF_P_/D	-3.70459e-12
calc tns: -8.26409e-09
get  tns: -8.26409e-09
